"Experiment","Citation","Depth","Sample date","Time (years)","g C m-2 mean ambient CO2","g C m-2 mean increased CO2","n samples ambient CO2","n samples increased CO2","Description of data source","Value treatment","log_response_ration","Phase"
"Shortgrass prairie","Pendall et al. 2004","0-5 cm","end growing season  2000",4,603,593,3,3,"appendix",NA,-0.01672279772946,"mid"
"SoyFACE","Moran and Jastrow 2010","0-12.5 cm","spring 2001",0,4803,4142,3,3,"pers. comm.","assumed bulk density: 1.24 g/cm3. 1  ring removed from dataset",-0.148061959709295,"early"
"SoyFACE","Moran and Jastrow 2010","0-12.5 cm","spring 2006",5,4671,4100,3,3,"pers. comm.","assumed bulk density: 1.23 g/cm3. 1 ring removed from dataset",-0.130386207809709,"mid"
"SoyFACE","Moran and Jastrow 2010","0-12.5 cm","spring 2007",6,4437,3836,3,3,"pers. comm.","assumed bulk density: 1.19 g/cm3. 1 ring removed from dataset",-0.145548315375581,"mid"
"SwissFACE- grass - low N","Van Kessel et al. 2006","0-10 cm","may 1995",2,2878,2862,3,3,"pers. comm.",NA,-0.00557492733091687,"early"
"SwissFACE- grass - low N","Van Kessel et al. 2006","0-10 cm","may 1996",3,2796,3584,3,3,"pers. comm.",NA,0.24828967074112,"mid"
"SwissFACE- grass - low N","Van Kessel et al. 2006","0-10 cm","may 1997",4,2855,2790,3,3,"pers. comm.",NA,-0.0230302472746992,"mid"
"SwissFACE- grass - low N","Van Kessel et al. 2006","0-10 cm","may 1998",5,3305,3368,3,3,"pers. comm.",NA,0.0188826230764307,"mid"
"SwissFACE- grass - low N","Van Kessel et al. 2006","0-10 cm","may 1999",6,2970,2946,3,3,"pers. comm.",NA,-0.00811363477416977,"mid"
"SwissFACE- grass - low N","Van Kessel et al. 2006","0-10 cm","may 2000",7,2606,2759,3,3,"pers. comm.",NA,0.0570518165324956,"late"
"SwissFACE- grass - low N","Van Kessel et al. 2006","0-10 cm","may 2001",8,3733,3834,3,3,"pers. comm.",NA,0.026696444691006,"late"
"SwissFACE- grass - low N","Van Kessel et al. 2006","0-10 cm","may 2002",9,3350,3498,3,3,"pers. comm.",NA,0.0432310307594352,"late"
"SwissFACE- grass - low N","Van Kessel et al. 2006","0-10 cm","may 2003",10,3293,3198,3,3,"pers. comm.",NA,-0.0292733889824648,"late"
"SwissFACE- grass - high N","Van Kessel et al. 2006","0-10 cm","may 1995",2,3528,3223,3,3,"pers. comm.",NA,-0.0904185353112441,"early"
"SwissFACE- grass - high N","Van Kessel et al. 2006","0-10 cm","may 1996",3,3052,3892,3,3,"pers. comm.",NA,0.243126050901548,"mid"
"SwissFACE- grass - high N","Van Kessel et al. 2006","0-10 cm","may 1997",4,3075,3091,3,3,"pers. comm.",NA,0.005189761891498,"mid"
"SwissFACE- grass - high N","Van Kessel et al. 2006","0-10 cm","may 1998",5,3494,3606,3,3,"pers. comm.",NA,0.0315519130692607,"mid"
"SwissFACE- grass - high N","Van Kessel et al. 2006","0-10 cm","may 1999",6,2986,3045,3,3,"pers. comm.",NA,0.0195662020448616,"mid"
"SwissFACE- grass - high N","Van Kessel et al. 2006","0-10 cm","may 2000",7,2920,2588,3,3,"pers. comm.",NA,-0.120698239641536,"late"
"SwissFACE- grass - high N","Van Kessel et al. 2006","0-10 cm","may 2001",8,3434,3114,3,3,"pers. comm.",NA,-0.0978176890634772,"late"
"SwissFACE- grass - high N","Van Kessel et al. 2006","0-10 cm","may 2002",9,3302,3439,3,3,"pers. comm.",NA,0.0406523859521929,"late"
"SwissFACE- grass - high N","Van Kessel et al. 2006","0-10 cm","may 2003",10,3258,3332,3,3,"pers. comm.",NA,0.0224592141247429,"late"
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 1995",2,2822,2872,3,3,"pers. comm.",NA,0.0175627977553555,"early"
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 1996",3,3048,3500,3,3,"pers. comm.",NA,0.138277330670968,"mid"
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 1997",4,2862,2931,3,3,"pers. comm.",NA,0.0238229805944962,"mid"
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 1998",5,3034,3291,3,3,"pers. comm.",NA,0.0813095890348624,"mid"
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 1999",6,2758,2911,3,3,"pers. comm.",NA,0.0539908853923762,"mid"
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 2000",7,2544,2987,3,3,"pers. comm.",NA,0.160531893756097,"late"
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 2001",8,3443,3145,3,3,"pers. comm.",NA,-0.0905292942039828,"late"
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 2002",9,3053,3591,3,3,"pers. comm.",NA,0.162306001491205,"late"
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 2003",10,2999,3076,3,3,"pers. comm.",NA,0.0253511518765255,"late"
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 1995",2,2916,3496,3,3,"pers. comm.",NA,0.181406643646877,"early"
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 1996",3,3256,3688,3,3,"pers. comm.",NA,0.124584857554054,"mid"
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 1997",4,2725,2996,3,3,"pers. comm.",NA,0.0948096375397656,"mid"
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 1998",5,3233,3406,3,3,"pers. comm.",NA,0.0521280834972004,"mid"
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 1999",6,2759,3153,3,3,"pers. comm.",NA,0.133486085327775,"mid"
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 2000",7,2630,2434,3,3,"pers. comm.",NA,-0.0774478516243377,"late"
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 2001",8,3528,3572,3,3,"pers. comm.",NA,0.0123945248697078,"late"
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 2002",9,3209,3456,3,3,"pers. comm.",NA,0.0741524888140894,"late"
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 2003",10,2993,3236,3,3,"pers. comm.",NA,0.0780617703256833,"late"
"Swiss Greenhouse","Körner and Arnone 1992","0-20 cm","-",0,1280,1280,2,2,"table 4",NA,0,"early"
"Swiss Greenhouse","Körner and Arnone 1992","0-20 cm","-",0.25,1205,980,2,2,"table 4",NA,-0.206682274260138,"early"
"Tallgrass Prairie","Rice et al. 1994","0-5 cm","Nov 92",2.5,2985,2860,3,3,"table 1","bulk density = 0.93 g/cm3 (Williams et al. 2000)",-0.0427781220128042,"early"
"Tallgrass Prairie","Williams et al. 2000","0-5 cm","oct. 1996",8,2181,2372,3,3,"table 1","bulk density = 0.93 g/cm3 (Williams et al. 2000)",0.083949993915987,"late"
"UMBS - aspen","Zak et al. 1993","0-15 cm","may 1991",0,297,297,4,4,"table 2","assumed bulk density: 1.0 g/cm3",0,"early"
"UMBS - aspen","Zak et al. 1993","0-15 cm","oct. 1991",0.5,242,290,4,4,"table 2","assumed bulk density: 1.0 g/cm3",0.180943196823833,"early"
"WSL - loam, low N","Hagedorn et al. 2001","0-10 cm","Jan 95",0,1290,1290,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3",0,"early"
"WSL - loam, low N","Hagedorn et al. 2001","0-10 cm","Sep 98",3.75,1317,1471,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3",0.110586018858156,"mid"
"WSL - loam, high N","Hagedorn et al. 2001","0-10 cm","Jan 95",0,1290,1290,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3",0,"early"
"WSL - loam, high N","Hagedorn et al. 2001","0-10 cm","Sep 98",3.75,1482,1547,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3",0.0429250447170338,"mid"
"WSL - sand, low N","Hagedorn et al. 2001","0-10 cm","Jan 95",0,1310,1310,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3",0,"early"
"WSL - sand, low N","Hagedorn et al. 2001","0-10 cm","Sep 98",3.75,1167,1214,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3",0.0394843393328875,"mid"
"WSL - sand, high N","Hagedorn et al. 2001","0-10 cm","Jan 95",0,1310,1310,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3",0,"early"
"WSL - sand, high N","Hagedorn et al. 2001","0-10 cm","Sep 98",3.75,1120,1183,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3",0.0547248996892465,"mid"
